date,open,high,low,close,volume,ret1,fwd_ret1,rsi14,macd,macd_hist,bb_pctb,dev25,stoch_k,stoch_d,adx,roc10,ma_gap_5_25,ma_gap_25_75,us_ret,jpy_ret,fut_premium,nikkei_vi,nikkei_vi_chg,vix,vix_chg,dow,key
2025-11-19,48822.87891,49087.10938,48235.30078,48537.69922,136500000,-0.00339,0.02650,44.22781,520.33975,-449.69601,0.04409,-2.92225,9.22549,20.64377,24.31097,-3.33498,-0.30841,8.88834,-0.82564,0.44505,1.52933,,,24.69000,10.32172,2,mid|low|neg
2025-11-20,49129.28906,50574.82031,49113.39062,49823.94141,139400000,0.02650,-0.02405,52.08319,465.72919,-403.44526,0.35002,-0.52091,48.46580,19.71507,22.57700,-2.08267,-1.06185,8.79917,0.37538,0.17711,-2.74756,,,23.66000,-4.17173,3,mid|high|neg
2025-11-21,49251.26172,49459.58984,48490.03125,48625.87891,212200000,-0.02405,0.00069,45.63564,322.06375,-437.68856,0.05069,-2.93997,11.91565,23.20231,21.46586,-3.28284,-1.78823,8.58329,-1.55673,0.92833,0.32724,,,26.42000,11.66526,4,mid|low|neg
2025-11-25,49113.82031,49182.32031,48511.94922,48659.51953,144500000,0.00069,0.01849,45.83838,208.51870,-440.98689,0.08564,-2.95629,13.66865,24.68336,20.43409,-4.42382,-2.53652,8.41449,1.54672,-0.43274,0.99771,,,20.52000,-22.33157,1,mid|low|neg
2025-11-26,49012.25000,49749.58984,48964.19141,49559.07031,134100000,0.01849,0.01227,51.09104,188.94165,-368.45115,0.31513,-1.19173,42.65285,22.74571,18.99808,-2.52515,-2.22419,8.16586,0.90617,0.16019,1.11166,,,18.56000,-9.55166,2,mid|high|neg
2025-11-27,49868.78906,50322.14062,49865.17188,50167.10156,99300000,0.01227,0.00173,54.31608,219.95424,-269.95085,0.45931,-0.04731,76.28227,44.20126,18.15925,-1.75509,-1.64122,7.94836,0.69067,-0.45177,-0.11382,,,17.19000,-7.38146,3,mid|high|neg
2025-11-28,50218.96094,50258.25000,49989.53906,50253.91016,98200000,0.00173,-0.01892,54.77460,248.67016,-192.98794,0.49205,0.05021,86.28307,68.40606,17.38033,-2.00445,-1.54412,7.74566,0.69067,0.00576,-0.04758,,,17.19000,0.00000,4,mid|high|neg
2025-12-01,50318.58984,50366.73828,49215.96094,49303.28125,118200000,-0.01892,0.00000,48.97742,192.50090,-199.32577,0.28542,-1.89409,45.64956,69.40497,16.37283,-2.13046,-1.32639,7.57221,0.53548,0.02880,0.34829,,,16.35000,-4.88656,0,mid|low|neg
2025-12-02,49494.57812,49636.78906,49243.55078,49303.44922,127100000,0.00000,0.01138,48.97845,146.31329,-196.41070,0.29982,-1.89405,45.65674,59.19646,15.43729,-2.02779,-1.07043,7.37073,-0.53233,-0.22779,0.51021,,,17.24000,5.44342,1,mid|low|neg
2025-12-03,49540.64062,50138.60156,49521.23047,49864.67969,119500000,0.01138,0.02334,52.42590,153.22956,-151.59554,0.47509,-0.72612,65.93705,52.41445,14.60805,2.38527,-0.89772,7.11430,0.24572,-0.23792,0.01067,,,16.59000,-3.77030,2,mid|high|neg
